"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1,P2,P3,P4";"CONN_SAMTEC_BTH_60";4;"BTH-030-01-F-D-A";;;
2;"P5,P6";"SAS_mini_1888174";2;"SAS_mini_1888174";;;
3;"MH1,MH2,MH3,MH4";"MTG_PTH_125_SQ";4;"MTG\PTH\125\SQ";;;
4;"P8";"Straight_2x03";1;"HEADER_2x03_PARALLEL";;;
5;"P9";"SATA-7_THT_VERT_2";1;"SATA7-67491-1030";;;
6;"MH5,MH6,MH7,MH8";"MountingHole_3mm";4;"HOLE";;;
7;"C1";"C_0603";1;"100nF/16V";;;
8;"C2";"C_1210_HandSoldering";1;"100uF/10V";;;
9;"P7";"Straight_2x05";1;"HEADER_2x05_PARALLEL";;;
10;"D1";"D_SMA";1;"M4";;;
